PDF_NAME|DB_NAME|TYPE
Additional_information|ADDITIONAL_INFORMATION|Text
Age|AGE|Text
Arrested|ARRESTED|On
Arrested_for_DrugsOrAlc|ARRESTED_FOR_DRUGSORALC|On
Arrested_for_Failure|ARRESTED_FOR_FAILURE|On
Arrested_for_S4Alc|ARRESTED_FOR_S4ALC|On
Arrested_for_S4Drugs|ARRESTED_FOR_S4DRUGS|On
Arrested_for_S5Alc|ARRESTED_FOR_S5ALC|On
Arrested_for_S5Drugs|ARRESTED_FOR_S5DRUGS|On
Arrested_for_other|ARRESTED_FOR_OTHER|Text
Blood_Doctor|BLOOD_DOCTOR|On
Blood_Nurse|BLOOD_NURSE|On
Blood_failure_reason|BLOOD_FAILURE_REASON|Text
Blood_other|BLOOD_OTHER|Text
Blood_provided|BLOOD_PROVIDED|On
Blood_requested|BLOOD_REQUESTED|On
Blood_time|BLOOD_TIME|Text
Custody_Ref|CUSTODY_REF|Text
Date_initial_stop|DATE_INITIAL_STOP|Date
Disposal_AlcOrDrugs|DISPOSAL_ALCORDRUGS|On
Disposal_Failure|DISPOSAL_FAILURE|On
Disposal_Other|DISPOSAL_OTHER|Text
Disposal_S4Alc|DISPOSAL_S4ALC|On
Disposal_S4Drugs|DISPOSAL_S4DRUGS|On
Disposal_S5Alc|DISPOSAL_S5ALC|On
Disposal_S5Drugs|DISPOSAL_S5DRUGS|On
Disposal_other_details|DISPOSAL_OTHER_DETAILS|Text
Ethicity|ETHICITY|Text
Gender|GENDER|Text
Investigation_for_DrugsOrAlc|INVESTIGATION_FOR_DRUGSORALC|On
Investigation_for_Failure|INVESTIGATION_FOR_FAILURE|On
Investigation_for_S4Alc|INVESTIGATION_FOR_S4ALC|On
Investigation_for_S4Drugs|INVESTIGATION_FOR_S4DRUGS|On
Investigation_for_S5Alc|INVESTIGATION_FOR_S5ALC|On
Investigation_for_S5Drugs|INVESTIGATION_FOR_S5DRUGS|On
Investigation_for_other|INVESTIGATION_FOR_OTHER|Text
Lab_LGC|LAB_LGC|On
Lab_ROAR|LAB_ROAR|On
Lab_Randox|LAB_RANDOX|On
Lab_other|LAB_OTHER|Text
RTC|RTC|On
Reason_not_arrested|REASON_NOT_ARRESTED|Text
Roadside_Breath_done|ROADSIDE_BREATH_DONE|On
Roadside_Breath_time|ROADSIDE_BREATH_TIME|Text
Roadside_Breath_result|ROADSIDE_BREATH_RESULT|Text
Roadside_FIT_done|ROADSIDE_FIT_DONE|On
Roadside_FIT_time|ROADSIDE_FIT_TIME|Text
Roadside_Saliva_done|ROADSIDE_SALIVA_DONE|On
Roadside_Saliva_drug|ROADSIDE_SALIVA_DRUG|Text
Roadside_Saliva_result|ROADSIDE_SALIVA_RESULT|Text
Roadside_Saliva_time|ROADSIDE_SALIVA_TIME|Text
Roadside_device_type3|ROADSIDE_DEVICE_TYPE3|On
Station_Breath_done|STATION_BREATH_DONE|On
Station_Breath_time|STATION_BREATH_TIME|Text
Station_Breath_Result|STATION_BREATH_RESULT|Text
Station_Breath_date|STATION_BREATH_DATE|Date
Station_Saliva_done|STATION_SALIVA_DONE|On
Station_Saliva_drug|STATION_SALIVA_DRUG|Text
Station_Saliva_result|STATION_SALIVA_RESULT|Text
Station_Saliva_time|STATION_SALIVA_TIME|Text
Station_Saliva_date|STATION_SALIVA_DATE|Date
Station_device_type3|STATION_DEVICE_TYPE3|On
Station_hcp_time|STATION_HCP_TIME|Text
Station_hcp_date|STATION_HCP_DATE|Date
Test_ref|TEST_REF|Text
Time_initial_stop|TIME_INITIAL_STOP|Text
Urine_Time1|URINE_TIME1|Text
Urine_Time2|URINE_TIME2|Text
Urine_provided|URINE_PROVIDED|On
hcp_assessed|HCP_ASSESSED|On
hcp_decision|HCP_DECISION|Text
hcp_doctor|HCP_DOCTOR|On
hcp_nurse|HCP_NURSE|On
hcp_other|HCP_OTHER|Text
hcp_referral|HCP_REFERRAL|On
Medical_defence_Claimed|MEDICAL_DEFENCE_CLAIMED|On
Medical_defence_drugs|MEDICAL_DEFENCE_DRUGS|Text
Police_Force_Code|POLICE_FORCE_CODE|Text
NULL|WWM_TEST_FORCE|Text
NULL|WWM_TEST_LPA|Text
NULL|WWM_TEST_BEAT|Text
NULL|WWM_TEST_GRIDREF|Text
NULL|WWM_OFFICER_FORCE|Text
NULL|WWM_OFFICER_UID|Text
NULL|WWM_OFFICER_NAME|Text
NULL|WWM_OFFICER_EMAIL|Text
NULL|WWM_OFFICER_COLLAR|Text
NULL|WWM_TEST_LOCATION|Text
NULL|WWM_DD_ID|Number
Roadside_Fit_OK|ROADSIDE_FIT_RESULT|Text
NULL|HOSPITAL_SALIVA_DONE|Text
NULL|HOSPITAL_SALIVA_RESULT|Text
NULL|HOSPITAL_SALIVA_TIME|Text
NULL|HOSPITAL_SALIVA_DRUG|Text
NULL|WWM_OFF_ETHNICITY|Text
NULL|WWM_NOMINAL_REF|Text
NULL|WWM_NOMINAL_NAME|Text
NULL|WWM_TEST_REASON|Text
